"timestamp";"severity";"category";"thread";"logmessage"
"2019-06-23 06:48:37,186";"ERROR";"org.jboss.as.ejb3.invocation";"default task-40";"WFLYEJB0034: EJB Invocation failed on component CsvStatistic for method public java.util.List org.huberb.csvcompare.war.service.CsvStatistic.queryData(java.lang.String) throws java.sql.SQLException,java.io.IOException: javax.ejb.EJBException: java.lang.UnsupportedOperationException"
"2019-06-23 06:48:37,218";"WARNING";"javax.enterprise.resource.webcontainer.jsf.lifecycle";"default task-40";"#{csvStatisticController.queryAction()}: javax.ejb.EJBException: java.lang.UnsupportedOperationException: javax.faces.FacesException: #{csvStatisticController.queryAction()}: javax.ejb.EJBException: java.lang.UnsupportedOperationException"
"2019-06-23 06:48:37,251";"FATAL";"javax.enterprise.resource.webcontainer.jsf.context";"default task-40";"JSF1073: javax.faces.FacesException caught during processing of INVOKE_APPLICATION 5 : UIComponent-ClientId=, Message=#{csvStatisticController.queryAction()}: javax.ejb.EJBException: java.lang.UnsupportedOperationException"
"2019-06-23 06:48:37,252";"FATAL";"javax.enterprise.resource.webcontainer.jsf.context";"default task-40";"#{csvStatisticController.queryAction()}: javax.ejb.EJBException: java.lang.UnsupportedOperationException: javax.faces.FacesException: #{csvStatisticController.queryAction()}: javax.ejb.EJBException: java.lang.UnsupportedOperationException"
"2019-06-23 06:48:44,075";"INFO";"org.jboss.as.server";"Thread-2";"WFLYSRV0220: Server shutdown has been requested via an OS signal"
"2019-06-23 06:48:44,091";"INFO";"org.jboss.as.connector.deployers.jdbc";"MSC service thread 1-2";"WFLYJCA0019: Stopped Driver service with driver-name = csvcompare.war_org.h2.Driver_1_4"
"2019-06-23 06:48:44,106";"INFO";"org.wildfly.extension.undertow";"ServerService Thread Pool -- 118";"WFLYUT0022: Unregistered web context: /csvcompare"
"2019-06-23 06:48:44,106";"INFO";"org.wildfly.extension.undertow";"ServerService Thread Pool -- 117";"WFLYUT0022: Unregistered web context: /eebatch"
"2019-06-23 06:48:44,153";"INFO";"org.wildfly.extension.undertow";"MSC service thread 1-4";"WFLYUT0019: Host default-host stopping"
"2019-06-23 06:48:44,169";"INFO";"org.jboss.as.connector.subsystems.datasources";"MSC service thread 1-6";"WFLYJCA0010: Unbound data source [java:jboss/datasources/ExampleDS]"
"2019-06-23 06:48:44,184";"INFO";"org.jboss.as.server.deployment";"MSC service thread 1-7";"WFLYSRV0028: Stopped deployment eebatch.war (runtime-name: eebatch.war) in 97ms"
"2019-06-23 06:48:44,184";"INFO";"org.jboss.as.clustering.infinispan";"ServerService Thread Pool -- 124";"WFLYCLINF0003: Stopped client-mappings cache from ejb container"
"2019-06-23 06:48:44,184";"INFO";"org.jboss.as.connector.deployers.jdbc";"MSC service thread 1-3";"WFLYJCA0019: Stopped Driver service with driver-name = h2"
"2019-06-23 06:48:44,200";"INFO";"org.wildfly.extension.undertow";"MSC service thread 1-6";"WFLYUT0008: Undertow HTTPS listener https suspending"
"2019-06-23 06:48:44,200";"INFO";"org.wildfly.extension.undertow";"MSC service thread 1-2";"WFLYUT0008: Undertow HTTP listener default suspending"
"2019-06-23 06:48:44,200";"INFO";"org.jboss.as.server.deployment";"MSC service thread 1-7";"WFLYSRV0028: Stopped deployment csvcompare.war (runtime-name: csvcompare.war) in 117ms"
"2019-06-23 06:48:44,216";"INFO";"org.wildfly.extension.undertow";"MSC service thread 1-6";"WFLYUT0007: Undertow HTTPS listener https stopped, was bound to 127.0.0.1:8543"
"2019-06-23 06:48:44,216";"INFO";"org.wildfly.extension.undertow";"MSC service thread 1-2";"WFLYUT0007: Undertow HTTP listener default stopped, was bound to 127.0.0.1:8180"
"2019-06-23 06:48:44,216";"INFO";"org.wildfly.extension.undertow";"MSC service thread 1-4";"WFLYUT0004: Undertow 1.4.0.Final stopping"
"2019-06-23 06:48:44,251";"INFO";"org.jboss.as";"MSC service thread 1-2";"WFLYSRV0050: WildFly Full 10.1.0.Final (WildFly Core 2.2.0.Final) stopped in 151ms"
"2019-06-23 06:49:38,842";"INFO";"org.jboss.modules";"main";"JBoss Modules version 1.5.2.Final"
"2019-06-23 06:49:39,080";"INFO";"org.jboss.msc";"main";"JBoss MSC version 1.2.6.Final"
"2019-06-23 06:49:39,173";"INFO";"org.jboss.as";"MSC service thread 1-7";"WFLYSRV0049: WildFly Full 10.1.0.Final (WildFly Core 2.2.0.Final) starting"
